sentimen,tweet,remove_unrelevant_emoji,emojis,tweet_clean,tweet_proc_punct,tweet_no_punct,tweet_no_sc,tweet_lowercase,tweet_no_slang,tweet_no_sw,tweet_no_number,tweet_no_extra_spaces,tweet_lem,final_tweet,tweet_tokenization
netral,Jika Prabowo - Sandi Menang saya berjanji tidak akan mengambil Gajinya...😁😁,Jika Prabowo - Sandi Menang saya berjanji tidak akan mengambil Gajinya...,,Jika Prabowo - Sandi Menang saya berjanji tidak akan mengambil Gajinya...😁😁,Jika Prabowo  Sandi Menang saya berjanji tidak akan mengambil Gajinya...😁😁,Jika Prabowo  Sandi Menang saya berjanji tidak akan mengambil Gajinya     ,Jika Prabowo  Sandi Menang saya berjanji tidak akan mengambil Gajinya     ,jika prabowo  sandi menang saya berjanji tidak akan mengambil gajinya     ,jika prabowo  sandiaga menang saya berjanji tidak akan mengambil gajinya     ,prabowo sandiaga menang berjanji tidak mengambil gajinya,prabowo sandiaga menang berjanji tidak mengambil gajinya,prabowo sandiaga menang berjanji tidak mengambil gajinya,prabowo sandiaga menang janji tidak ambil gaji,prabowo sandiaga menang janji tidak ambil gaji ,"['prabowo', 'sandiaga', 'menang', 'janji', 'tidak', 'ambil', 'gaji']"
netral,". Sebelumnya harga BBM di Papua senilai Rp 100.000/liter, sungguh drastik, di era Jokowi mampu menekan harga premium seharga Rp6.450/liter setara dengan harga BBM di seantero nusantara. #PiliOrangbaik #PilihJelasIslamnya #PilihBajuPutih",". Sebelumnya harga BBM di Papua senilai Rp 100.000/liter, sungguh drastik, di era Jokowi mampu menekan harga premium seharga Rp6.450/liter setara dengan harga BBM di seantero nusantara. #PiliOrangbaik #PilihJelasIslamnya #PilihBajuPutih",,". Sebelumnya harga BBM di Papua senilai Rp 100.000/liter, sungguh drastik, di era Jokowi mampu menekan harga premium seharga Rp6.450/liter setara dengan harga BBM di seantero nusantara.   ",". Sebelumnya harga BBM di Papua senilai Rp 100.000/liter, sungguh drastik, di era Jokowi mampu menekan harga premium seharga Rp6.450/liter setara dengan harga BBM di seantero nusantara.   ",  Sebelumnya harga BBM di Papua senilai Rp 100 000 liter  sungguh drastik  di era Jokowi mampu menekan harga premium seharga Rp6 450 liter setara dengan harga BBM di seantero nusantara    ,  Sebelumnya harga BBM di Papua senilai Rp 100 000 liter  sungguh drastik  di era Jokowi mampu menekan harga premium seharga Rp6 450 liter setara dengan harga BBM di seantero nusantara    ,  sebelumnya harga bbm di papua senilai rp 100 000 liter  sungguh drastik  di era jokowi mampu menekan harga premium seharga rp6 450 liter setara dengan harga bbm di seantero nusantara    ,  sebelumnya harga bahan bakar minyak di papua senilai rupiah 100 000 liter  sungguh drastik  di era jokowi mampu menekan harga premium seharga rp6 450 liter setara dengan harga bahan bakar minyak di seantero nusantara    ,harga bahan bakar minyak papua senilai rupiah 100 000 liter sungguh drastik era jokowi menekan harga premium seharga rp6 450 liter setara harga bahan bakar minyak seantero nusantara,harga bahan bakar minyak papua senilai rupiah   liter sungguh drastik era jokowi menekan harga premium seharga rp6  liter setara harga bahan bakar minyak seantero nusantara,harga bahan bakar minyak papua senilai rupiah liter sungguh drastik era jokowi menekan harga premium seharga rp6 liter setara harga bahan bakar minyak seantero nusantara,harga bahan bakar minyak papua nilai rupiah liter sungguh drastik era jokowi tekan harga premium harga rp6 liter tara harga bahan bakar minyak antero nusantara,harga bahan bakar minyak papua nilai rupiah liter sungguh drastik era jokowi tekan harga premium harga rp6 liter tara harga bahan bakar minyak antero nusantara ,"['harga', 'bahan', 'bakar', 'minyak', 'papua', 'nilai', 'rupiah', 'liter', 'sungguh', 'drastik', 'era', 'jokowi', 'tekan', 'harga', 'premium', 'harga', 'rp6', 'liter', 'tara', 'harga', 'bahan', 'bakar', 'minyak', 'antero', 'nusantara']"
positif,Hahaha takdelah. Ma’aruf Amin yang jadi calon naib presiden dengan jokowi tu pun pemimpin majelis ulama indonesia. Saja pilih prabowo sebab jokowi ada masalah ekonomi waktu jadi presiden dulu.,Hahaha takdelah. Ma’aruf Amin yang jadi calon naib presiden dengan jokowi tu pun pemimpin majelis ulama indonesia. Saja pilih prabowo sebab jokowi ada masalah ekonomi waktu jadi presiden dulu.,,Hahaha takdelah. Ma’aruf Amin yang jadi calon naib presiden dengan jokowi tu pun pemimpin majelis ulama indonesia. Saja pilih prabowo sebab jokowi ada masalah ekonomi waktu jadi presiden dulu.,Hahaha takdelah. Ma’aruf Amin yang jadi calon naib presiden dengan jokowi tu pun pemimpin majelis ulama indonesia. Saja pilih prabowo sebab jokowi ada masalah ekonomi waktu jadi presiden dulu.,Hahaha takdelah  Ma aruf Amin yang jadi calon naib presiden dengan jokowi tu pun pemimpin majelis ulama indonesia  Saja pilih prabowo sebab jokowi ada masalah ekonomi waktu jadi presiden dulu ,Hahaha takdelah  Ma aruf Amin yang jadi calon naib presiden dengan jokowi tu pun pemimpin majelis ulama indonesia  Saja pilih prabowo sebab jokowi ada masalah ekonomi waktu jadi presiden dulu ,hahaha takdelah  ma aruf amin yang jadi calon naib presiden dengan jokowi tu pun pemimpin majelis ulama indonesia  saja pilih prabowo sebab jokowi ada masalah ekonomi waktu jadi presiden dulu ,haha takdelah  ma aruf amin yang jadi calon naib presiden dengan jokowi itu pun pemimpin majelis ulama indonesia  saja pilih prabowo sebab jokowi ada masalah ekonomi waktu jadi presiden dulu ,haha takdelah ma aruf amin calon naib presiden jokowi pemimpin majelis ulama indonesia pilih prabowo jokowi ekonomi presiden,haha takdelah ma aruf amin calon naib presiden jokowi pemimpin majelis ulama indonesia pilih prabowo jokowi ekonomi presiden,haha takdelah ma aruf amin calon naib presiden jokowi pemimpin majelis ulama indonesia pilih prabowo jokowi ekonomi presiden,haha takdelah ma aruf amin calon naib presiden jokowi pimpin majelis ulama indonesia pilih prabowo jokowi ekonomi presiden,haha takdelah ma aruf amin calon naib presiden jokowi pimpin majelis ulama indonesia pilih prabowo jokowi ekonomi presiden ,"['haha', 'takdelah', 'ma', 'aruf', 'amin', 'calon', 'naib', 'presiden', 'jokowi', 'pimpin', 'majelis', 'ulama', 'indonesia', 'pilih', 'prabowo', 'jokowi', 'ekonomi', 'presiden']"
netral,"Bila Terpipilh, Prabowo-Sandi akan Berikan Seluruh Gajinya untuk Fakir Miskin    https://www.portal-islam.id/2019/04/bila-terpipilh-prabowo-sandi-akan.html👍 pic.twitter.com/5gFfCzoT0s","Bila Terpipilh, Prabowo-Sandi akan Berikan Seluruh Gajinya untuk Fakir Miskin    https://www.portal-islam.id/2019/04/bila-terpipilh-prabowo-sandi-akan.html pic.twitter.com/5gFfCzoT0s",,"Bila Terpipilh, Prabowo-Sandi akan Berikan Seluruh Gajinya untuk Fakir Miskin    👍 ","Bila Terpipilh, PrabowoSandi akan Berikan Seluruh Gajinya untuk Fakir Miskin    👍 ",Bila Terpipilh  PrabowoSandi akan Berikan Seluruh Gajinya untuk Fakir Miskin      ,Bila Terpipilh  PrabowoSandi akan Berikan Seluruh Gajinya untuk Fakir Miskin      ,bila terpipilh  prabowosandi akan berikan seluruh gajinya untuk fakir miskin      ,bila terpipilh  prabowo sandiaga akan berikan seluruh gajinya untuk fakir miskin      ,terpipilh prabowo sandiaga gajinya fakir miskin,terpipilh prabowo sandiaga gajinya fakir miskin,terpipilh prabowo sandiaga gajinya fakir miskin,terpipilh prabowo sandiaga gaji fakir miskin,terpipilh prabowo sandiaga gaji fakir miskin ,"['terpipilh', 'prabowo', 'sandiaga', 'gaji', 'fakir', 'miskin']"
netral,"Salah satu wacana untuk memanfaatkan teknologi dalam e-sport juga patut diacungi jempol. Wadah dan regulasi yg jelas bisa memberikan angin segar pada perputaran ekonomi. Pajak dari sektor ini  perlu dikawal. Anak muda punya kegiatan positif negara bisa mewadahi, itu juga misi.","Salah satu wacana untuk memanfaatkan teknologi dalam e-sport juga patut diacungi jempol. Wadah dan regulasi yg jelas bisa memberikan angin segar pada perputaran ekonomi. Pajak dari sektor ini  perlu dikawal. Anak muda punya kegiatan positif negara bisa mewadahi, itu juga misi.",,"Salah satu wacana untuk memanfaatkan teknologi dalam e-sport juga patut diacungi jempol. Wadah dan regulasi yg jelas bisa memberikan angin segar pada perputaran ekonomi. Pajak dari sektor ini  perlu dikawal. Anak muda punya kegiatan positif negara bisa mewadahi, itu juga misi.","Salah satu wacana untuk memanfaatkan teknologi dalam esport juga patut diacungi jempol. Wadah dan regulasi yg jelas bisa memberikan angin segar pada perputaran ekonomi. Pajak dari sektor ini  perlu dikawal. Anak muda punya kegiatan positif negara bisa mewadahi, itu juga misi.",Salah satu wacana untuk memanfaatkan teknologi dalam esport juga patut diacungi jempol  Wadah dan regulasi yg jelas bisa memberikan angin segar pada perputaran ekonomi  Pajak dari sektor ini  perlu dikawal  Anak muda punya kegiatan positif negara bisa mewadahi  itu juga misi ,Salah satu wacana untuk memanfaatkan teknologi dalam esport juga patut diacungi jempol  Wadah dan regulasi yg jelas bisa memberikan angin segar pada perputaran ekonomi  Pajak dari sektor ini  perlu dikawal  Anak muda punya kegiatan positif negara bisa mewadahi  itu juga misi ,salah satu wacana untuk memanfaatkan teknologi dalam esport juga patut diacungi jempol  wadah dan regulasi yg jelas bisa memberikan angin segar pada perputaran ekonomi  pajak dari sektor ini  perlu dikawal  anak muda punya kegiatan positif negara bisa mewadahi  itu juga misi ,salah satu wacana untuk memanfaatkan teknologi dalam esport juga patut diacungi jempol  wadah dan regulasi yang jelas bisa memberikan angin segar pada perputaran ekonomi  pajak dari sektor ini  perlu dikawal  anak muda punya kegiatan positif negara bisa mewadahi  itu juga misi ,salah wacana memanfaatkan teknologi esport patut diacungi jempol wadah regulasi bisa angin segar perputaran ekonomi pajak sektor dikawal anak muda kegiatan positif negara bisa mewadahi misi,salah wacana memanfaatkan teknologi esport patut diacungi jempol wadah regulasi bisa angin segar perputaran ekonomi pajak sektor dikawal anak muda kegiatan positif negara bisa mewadahi misi,salah wacana memanfaatkan teknologi esport patut diacungi jempol wadah regulasi bisa angin segar perputaran ekonomi pajak sektor dikawal anak muda kegiatan positif negara bisa mewadahi misi,salah wacana manfaat teknologi esport patut acung jempol wadah regulasi bisa angin segar putar ekonomi pajak sektor kawal anak muda giat positif negara bisa wadah misi,salah wacana manfaat teknologi esport patut acung jempol wadah regulasi bisa angin segar putar ekonomi pajak sektor kawal anak muda giat positif negara bisa wadah misi ,"['salah', 'wacana', 'manfaat', 'teknologi', 'esport', 'patut', 'acung', 'jempol', 'wadah', 'regulasi', 'bisa', 'angin', 'segar', 'putar', 'ekonomi', 'pajak', 'sektor', 'kawal', 'anak', 'muda', 'giat', 'positif', 'negara', 'bisa', 'wadah', 'misi']"
negatif,"Saham sdh dijual,aset banyak berkurang & sekarang tidak akan menerima gaji...????hmmmmm.... Mau korupsi yg g seberapa...???","Saham sdh dijual,aset banyak berkurang & sekarang tidak akan menerima gaji...????hmmmmm.... Mau korupsi yg g seberapa...???",,"Saham sdh dijual,aset banyak berkurang & sekarang tidak akan menerima gaji...????hmmmmm.... Mau korupsi yg g seberapa...???","Saham sdh dijual,aset banyak berkurang & sekarang tidak akan menerima gaji...????hmmmmm.... Mau korupsi yg g seberapa...???",Saham sdh dijual aset banyak berkurang   sekarang tidak akan menerima gaji       hmmmmm     Mau korupsi yg g seberapa      ,Saham sdh dijual aset banyak berkurang   sekarang tidak akan menerima gaji       hmmmmm     Mau korupsi yg g seberapa      ,saham sdh dijual aset banyak berkurang   sekarang tidak akan menerima gaji       hmmmmm     mau korupsi yg g seberapa      ,saham sudah dijual aset banyak berkurang   sekarang tidak akan menerima gaji       hmmmmm     mau korupsi yang tidak seberapa      ,saham dijual aset berkurang tidak menerima gaji korupsi tidak,saham dijual aset berkurang tidak menerima gaji korupsi tidak,saham dijual aset berkurang tidak menerima gaji korupsi tidak,saham jual aset kurang tidak terima gaji korupsi tidak,saham jual aset kurang tidak terima gaji korupsi tidak ,"['saham', 'jual', 'aset', 'kurang', 'tidak', 'terima', 'gaji', 'korupsi', 'tidak']"
negatif,"Penerimaan pajak itu bahasa kerennya tax ratio  Tax ratio itu SUMBER penerimaan pajak, jadi jelas yang ditambah itu SUMBERNYA, bukan tarifnya  Contohnya cukong2 konglomerat yang selama ini gak bayar pajak DIPAKSA untuk bayar  Yang bilang kontradiksi berarti ketauan gak paham","Penerimaan pajak itu bahasa kerennya tax ratio  Tax ratio itu SUMBER penerimaan pajak, jadi jelas yang ditambah itu SUMBERNYA, bukan tarifnya  Contohnya cukong2 konglomerat yang selama ini gak bayar pajak DIPAKSA untuk bayar  Yang bilang kontradiksi berarti ketauan gak paham",,"Penerimaan pajak itu bahasa kerennya tax ratio  Tax ratio itu SUMBER penerimaan pajak, jadi jelas yang ditambah itu SUMBERNYA, bukan tarifnya  Contohnya cukong2 konglomerat yang selama ini gak bayar pajak DIPAKSA untuk bayar  Yang bilang kontradiksi berarti ketauan gak paham","Penerimaan pajak itu bahasa kerennya tax ratio  Tax ratio itu SUMBER penerimaan pajak, jadi jelas yang ditambah itu SUMBERNYA, bukan tarifnya  Contohnya cukong2 konglomerat yang selama ini gak bayar pajak DIPAKSA untuk bayar  Yang bilang kontradiksi berarti ketauan gak paham",Penerimaan pajak itu bahasa kerennya tax ratio  Tax ratio itu SUMBER penerimaan pajak  jadi jelas yang ditambah itu SUMBERNYA  bukan tarifnya  Contohnya cukong2 konglomerat yang selama ini gak bayar pajak DIPAKSA untuk bayar  Yang bilang kontradiksi berarti ketauan gak paham,Penerimaan pajak itu bahasa kerennya tax ratio  Tax ratio itu SUMBER penerimaan pajak  jadi jelas yang ditambah itu SUMBERNYA  bukan tarifnya  Contohnya cukong2 konglomerat yang selama ini gak bayar pajak DIPAKSA untuk bayar  Yang bilang kontradiksi berarti ketauan gak paham,penerimaan pajak itu bahasa kerennya tax ratio  tax ratio itu sumber penerimaan pajak  jadi jelas yang ditambah itu sumbernya  bukan tarifnya  contohnya cukong2 konglomerat yang selama ini gak bayar pajak dipaksa untuk bayar  yang bilang kontradiksi berarti ketauan gak paham,penerimaan pajak itu bahasa kerennya tax ratio  tax ratio itu sumber penerimaan pajak  jadi jelas yang ditambah itu sumbernya  bukan tarifnya  contohnya cukong2 konglomerat yang selama ini tidak bayar pajak dipaksa untuk bayar  yang bilang kontradiksi berarti ketahuan tidak paham,penerimaan pajak bahasa kerennya tax ratio tax ratio sumber penerimaan pajak ditambah sumbernya bukan tarifnya contohnya cukong2 konglomerat tidak bayar pajak dipaksa bayar bilang kontradiksi ketahuan tidak paham,penerimaan pajak bahasa kerennya tax ratio tax ratio sumber penerimaan pajak ditambah sumbernya bukan tarifnya contohnya cukong2 konglomerat tidak bayar pajak dipaksa bayar bilang kontradiksi ketahuan tidak paham,penerimaan pajak bahasa kerennya tax ratio tax ratio sumber penerimaan pajak ditambah sumbernya bukan tarifnya contohnya cukong2 konglomerat tidak bayar pajak dipaksa bayar bilang kontradiksi ketahuan tidak paham,terima pajak bahasa keren tax ratio tax ratio sumber terima pajak tambah sumber bukan tarif contoh cukong2 konglomerat tidak bayar pajak paksa bayar bilang kontradiksi tahu tidak paham,terima pajak bahasa keren tax ratio tax ratio sumber terima pajak tambah sumber bukan tarif contoh cukong2 konglomerat tidak bayar pajak paksa bayar bilang kontradiksi tahu tidak paham ,"['terima', 'pajak', 'bahasa', 'keren', 'tax', 'ratio', 'tax', 'ratio', 'sumber', 'terima', 'pajak', 'tambah', 'sumber', 'bukan', 'tarif', 'contoh', 'cukong2', 'konglomerat', 'tidak', 'bayar', 'pajak', 'paksa', 'bayar', 'bilang', 'kontradiksi', 'tahu', 'tidak', 'paham']"
negatif,"bu Ning dr Tengaran mengeluhkan harga kacang yg slalu terjepit, harga susu yg kian menonjol dan harga kolor yg turun naik di mana pak @jokowi ?","bu Ning dr Tengaran mengeluhkan harga kacang yg slalu terjepit, harga susu yg kian menonjol dan harga kolor yg turun naik di mana pak @jokowi ?",,"bu Ning dr Tengaran mengeluhkan harga kacang yg slalu terjepit, harga susu yg kian menonjol dan harga kolor yg turun naik di mana pak jokowi ?","bu Ning dr Tengaran mengeluhkan harga kacang yg slalu terjepit, harga susu yg kian menonjol dan harga kolor yg turun naik di mana pak jokowi ?",bu Ning dr Tengaran mengeluhkan harga kacang yg slalu terjepit  harga susu yg kian menonjol dan harga kolor yg turun naik di mana pak jokowi  ,bu Ning dr Tengaran mengeluhkan harga kacang yg slalu terjepit  harga susu yg kian menonjol dan harga kolor yg turun naik di mana pak jokowi  ,bu ning dr tengaran mengeluhkan harga kacang yg slalu terjepit  harga susu yg kian menonjol dan harga kolor yg turun naik di mana pak jokowi  ,bu ning dari tengaran mengeluhkan harga kacang yang selalu terjepit  harga susu yang kian menonjol dan harga kolor yang turun naik di mana pak jokowi  ,bu ning tengaran mengeluhkan harga kacang terjepit harga susu kian menonjol harga kolor turun jokowi,bu ning tengaran mengeluhkan harga kacang terjepit harga susu kian menonjol harga kolor turun jokowi,bu ning tengaran mengeluhkan harga kacang terjepit harga susu kian menonjol harga kolor turun jokowi,bu ning tengar keluh harga kacang jepit harga susu kian tonjol harga kolor turun jokowi,bu ning tengar keluh harga kacang jepit harga susu kian tonjol harga kolor turun jokowi ,"['bu', 'ning', 'tengar', 'keluh', 'harga', 'kacang', 'jepit', 'harga', 'susu', 'kian', 'tonjol', 'harga', 'kolor', 'turun', 'jokowi']"
positif,"Hahahaha.... Kalau mau sumbang itu bukan gaji om. Tapi Dana Operasional Presiden dan Wapres, berani gak????  Saya yakin kagak. Kenapa? krn dana operasional itu besar.Mknya knp @jokowi justru beli sabun 2M,bagi sepeda,bagi sembako.Itulah dana operasional,yg dia beri utk rakyat","Hahahaha.... Kalau mau sumbang itu bukan gaji om. Tapi Dana Operasional Presiden dan Wapres, berani gak????  Saya yakin kagak. Kenapa? krn dana operasional itu besar.Mknya knp @jokowi justru beli sabun 2M,bagi sepeda,bagi sembako.Itulah dana operasional,yg dia beri utk rakyat",,"Hahahaha.... Kalau mau sumbang itu bukan gaji om. Tapi Dana Operasional Presiden dan Wapres, berani gak????  Saya yakin kagak. Kenapa? krn dana operasional itu besar.Mknya knp jokowi justru beli sabun 2M,bagi sepeda,bagi sembako.Itulah dana operasional,yg dia beri utk rakyat","Hahahaha.... Kalau mau sumbang itu bukan gaji om. Tapi Dana Operasional Presiden dan Wapres, berani gak????  Saya yakin kagak. Kenapa? krn dana operasional itu besar.Mknya knp jokowi justru beli sabun 2M,bagi sepeda,bagi sembako.Itulah dana operasional,yg dia beri utk rakyat",Hahahaha     Kalau mau sumbang itu bukan gaji om  Tapi Dana Operasional Presiden dan Wapres  berani gak      Saya yakin kagak  Kenapa  krn dana operasional itu besar Mknya knp jokowi justru beli sabun 2M bagi sepeda bagi sembako Itulah dana operasional yg dia beri utk rakyat,Hahahaha     Kalau mau sumbang itu bukan gaji om  Tapi Dana Operasional Presiden dan Wapres  berani gak      Saya yakin kagak  Kenapa  krn dana operasional itu besar Mknya knp jokowi justru beli sabun 2M bagi sepeda bagi sembako Itulah dana operasional yg dia beri utk rakyat,hahahaha     kalau mau sumbang itu bukan gaji om  tapi dana operasional presiden dan wapres  berani gak      saya yakin kagak  kenapa  krn dana operasional itu besar mknya knp jokowi justru beli sabun 2m bagi sepeda bagi sembako itulah dana operasional yg dia beri utk rakyat,haha     kalau mau sumbang itu bukan gaji om  tapi dana operasional presiden dan wakil presiden  berani tidak      saya yakin tidak  kenapa  karena dana operasional itu besar makanya kenapa jokowi justru beli sabun 2m bagi sepeda bagi sembilan bahan pokok itulah dana operasional yang dia beri untuk rakyat,haha sumbang bukan gaji dana operasional presiden wakil presiden berani tidak tidak dana operasional jokowi beli sabun 2m sepeda sembilan bahan pokok dana operasional rakyat,haha sumbang bukan gaji dana operasional presiden wakil presiden berani tidak tidak dana operasional jokowi beli sabun 2m sepeda sembilan bahan pokok dana operasional rakyat,haha sumbang bukan gaji dana operasional presiden wakil presiden berani tidak tidak dana operasional jokowi beli sabun 2m sepeda sembilan bahan pokok dana operasional rakyat,haha sumbang bukan gaji dana operasional presiden wakil presiden berani tidak tidak dana operasional jokowi beli sabun 2m sepeda sembilan bahan pokok dana operasional rakyat,haha sumbang bukan gaji dana operasional presiden wakil presiden berani tidak tidak dana operasional jokowi beli sabun 2m sepeda sembilan bahan pokok dana operasional rakyat ,"['haha', 'sumbang', 'bukan', 'gaji', 'dana', 'operasional', 'presiden', 'wakil', 'presiden', 'berani', 'tidak', 'tidak', 'dana', 'operasional', 'jokowi', 'beli', 'sabun', '2m', 'sepeda', 'sembilan', 'bahan', 'pokok', 'dana', 'operasional', 'rakyat']"
positif,"Di saat yg tak berotak memikirkan mobile legend, di satu sisi orang cerdas memikirkan ekonomi kerakyatan  #UASdifitnahKejiDanBrutal","Di saat yg tak berotak memikirkan mobile legend, di satu sisi orang cerdas memikirkan ekonomi kerakyatan  #UASdifitnahKejiDanBrutal",,"Di saat yg tak berotak memikirkan mobile legend, di satu sisi orang cerdas memikirkan ekonomi kerakyatan  ","Di saat yg tak berotak memikirkan mobile legend, di satu sisi orang cerdas memikirkan ekonomi kerakyatan  ",Di saat yg tak berotak memikirkan mobile legend  di satu sisi orang cerdas memikirkan ekonomi kerakyatan  ,Di saat yg tak berotak memikirkan mobile legend  di satu sisi orang cerdas memikirkan ekonomi kerakyatan  ,di saat yg tak berotak memikirkan mobile legend  di satu sisi orang cerdas memikirkan ekonomi kerakyatan  ,di saat yang tidak berotak memikirkan mobile legend  di satu sisi orang cerdas memikirkan ekonomi kerakyatan  ,tidak berotak memikirkan mobile legend sisi orang cerdas memikirkan ekonomi kerakyatan,tidak berotak memikirkan mobile legend sisi orang cerdas memikirkan ekonomi kerakyatan,tidak berotak memikirkan mobile legend sisi orang cerdas memikirkan ekonomi kerakyatan,tidak otak pikir mobile legend sisi orang cerdas pikir ekonomi rakyat,tidak otak pikir mobile legend sisi orang cerdas pikir ekonomi rakyat ,"['tidak', 'otak', 'pikir', 'mobile', 'legend', 'sisi', 'orang', 'cerdas', 'pikir', 'ekonomi', 'rakyat']"
negatif,"pokonya ekonomi meroket lah, hidup mobile legend, #2019gantipresiden #kumsi","pokonya ekonomi meroket lah, hidup mobile legend, #2019gantipresiden #kumsi",,"pokonya ekonomi meroket lah, hidup mobile legend,  ","pokonya ekonomi meroket lah, hidup mobile legend,  ",pokonya ekonomi meroket lah  hidup mobile legend   ,pokonya ekonomi meroket lah  hidup mobile legend   ,pokonya ekonomi meroket lah  hidup mobile legend   ,pokoknya ekonomi meroket lah  hidup mobile legend   ,pokoknya ekonomi meroket hidup mobile legend,pokoknya ekonomi meroket hidup mobile legend,pokoknya ekonomi meroket hidup mobile legend,pokok ekonomi roket hidup mobile legend,pokok ekonomi roket hidup mobile legend ,"['pokok', 'ekonomi', 'roket', 'hidup', 'mobile', 'legend']"
negatif,Kalau lihat total program pasti tahu kualitas. Jika membahas respon wacana perputaran ekonomi dari dunia game (eSport) itu juga bisa menjadikan ekonomi sedikit terangkat..  Ibu kenal ibu Mia ga yg dari tegal?,Kalau lihat total program pasti tahu kualitas. Jika membahas respon wacana perputaran ekonomi dari dunia game (eSport) itu juga bisa menjadikan ekonomi sedikit terangkat..  Ibu kenal ibu Mia ga yg dari tegal?,,Kalau lihat total program pasti tahu kualitas. Jika membahas respon wacana perputaran ekonomi dari dunia game (eSport) itu juga bisa menjadikan ekonomi sedikit terangkat..  Ibu kenal ibu Mia ga yg dari tegal?,Kalau lihat total program pasti tahu kualitas. Jika membahas respon wacana perputaran ekonomi dari dunia game (eSport) itu juga bisa menjadikan ekonomi sedikit terangkat..  Ibu kenal ibu Mia ga yg dari tegal?,Kalau lihat total program pasti tahu kualitas  Jika membahas respon wacana perputaran ekonomi dari dunia game  eSport  itu juga bisa menjadikan ekonomi sedikit terangkat    Ibu kenal ibu Mia ga yg dari tegal ,Kalau lihat total program pasti tahu kualitas  Jika membahas respon wacana perputaran ekonomi dari dunia game  eSport  itu juga bisa menjadikan ekonomi sedikit terangkat    Ibu kenal ibu Mia ga yg dari tegal ,kalau lihat total program pasti tahu kualitas  jika membahas respon wacana perputaran ekonomi dari dunia game  esport  itu juga bisa menjadikan ekonomi sedikit terangkat    ibu kenal ibu mia ga yg dari tegal ,kalau lihat total program pasti tahu kualitas  jika membahas respon wacana perputaran ekonomi dari dunia game  esport  itu juga bisa menjadikan ekonomi sedikit terangkat    ibu kenal ibu mia tidak yang dari tegal ,lihat total program kualitas membahas respon wacana perputaran ekonomi dunia game esport bisa menjadikan ekonomi terangkat kenal mia tidak tegal,lihat total program kualitas membahas respon wacana perputaran ekonomi dunia game esport bisa menjadikan ekonomi terangkat kenal mia tidak tegal,lihat total program kualitas membahas respon wacana perputaran ekonomi dunia game esport bisa menjadikan ekonomi terangkat kenal mia tidak tegal,lihat total program kualitas bahas respon wacana putar ekonomi dunia game esport bisa jadi ekonomi angkat kenal mia tidak tegal,lihat total program kualitas bahas respon wacana putar ekonomi dunia game esport bisa jadi ekonomi angkat kenal mia tidak tegal ,"['lihat', 'total', 'program', 'kualitas', 'bahas', 'respon', 'wacana', 'putar', 'ekonomi', 'dunia', 'game', 'esport', 'bisa', 'jadi', 'ekonomi', 'angkat', 'kenal', 'mia', 'tidak', 'tegal']"
positif,"Gaji buta dong pak...?  Mending kami laporkan ke pak Prabowo, kalau dengan izin Allah beliau jadi presiden, gantiin bapak....","Gaji buta dong pak...?  Mending kami laporkan ke pak Prabowo, kalau dengan izin Allah beliau jadi presiden, gantiin bapak....",,"Gaji buta dong pak...?  Mending kami laporkan ke pak Prabowo, kalau dengan izin Allah beliau jadi presiden, gantiin bapak....","Gaji buta dong pak...?  Mending kami laporkan ke pak Prabowo, kalau dengan izin Allah beliau jadi presiden, gantiin bapak....",Gaji buta dong pak      Mending kami laporkan ke pak Prabowo  kalau dengan izin Allah beliau jadi presiden  gantiin bapak    ,Gaji buta dong pak      Mending kami laporkan ke pak Prabowo  kalau dengan izin Allah beliau jadi presiden  gantiin bapak    ,gaji buta dong pak      mending kami laporkan ke pak prabowo  kalau dengan izin allah beliau jadi presiden  gantiin bapak    ,gaji buta dong pak      lebih baik kami laporkan ke pak prabowo  kalau dengan izin allah beliau jadi presiden  gantikan bapak    ,gaji buta baik laporkan prabowo izin allah beliau presiden gantikan,gaji buta baik laporkan prabowo izin allah beliau presiden gantikan,gaji buta baik laporkan prabowo izin allah beliau presiden gantikan,gaji buta baik lapor prabowo izin allah beliau presiden ganti,gaji buta baik lapor prabowo izin allah beliau presiden ganti ,"['gaji', 'buta', 'baik', 'lapor', 'prabowo', 'izin', 'allah', 'beliau', 'presiden', 'ganti']"
